OBJECTID,CSA2010,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,CSA2020,x2020,Shape__Area,Shape__Length
42,Orangeville/East Highlandtown,78.48484848,75.34246575,82.21343874,84.12017167,87.28522337,76.44927536,75.57471264,83.91608392,76.40117994,74.27652733,Greektown/Bayview,78.80794702,89894372.21,47825.86293
43,Patterson Park North & East,84.59051724,88.64516129,88.22629969,96.32352941,93.39130435,69.72318339,85.09532062,79.21847247,80.31634446,77.2972973,Patterson Park North & East,80,14507643.2,21786.37466
44,Penn North/Reservoir Hill,68.27852998,77.89634146,78.39879154,78.04878049,81.93343899,80.67092652,82.76595745,76.54584222,76.48221344,75.86912065,Penn North/Reservoir Hill,80.95238095,41059796.68,29078.8385
45,Pimlico/Arlington/Hilltop,92.79854148,92.68292683,92.20779221,91.47025814,91.50227618,63.38028169,76.93920335,80.11695906,72.23796034,75.33783784,Pimlico/Arlington/Hilltop,86.17021277,30400962.01,24725.93407
46,Poppleton/The Terraces/Hollins Market,90.47619048,87.83783784,91.95804196,88.37209302,88.30409357,67.11409396,92.4137931,89.39393939,91.12903226,90.64327485,Poppleton/The Terraces/Hollins Market,97.56097561,9302012.999,12334.02753
47,Sandtown-Winchester/Harlem Park,73.54965585,79.83706721,79.67313585,79.23156802,84.44948922,81.97424893,89.22610015,81.56342183,84.51816746,74.22512235,Sandtown-Winchester/Harlem Park,73.1884058,23672092.87,20987.14331
48,South Baltimore,47.91666667,50,37.03703704,68.08510638,77.19298246,98.48484848,98.18181818,98.30508475,100,100,South Baltimore,100,46353935.43,68440.02583
49,Southeastern,85.42510121,92.81767956,93.20987654,94.65240642,95.97701149,86.98224852,98.13664596,99.29078014,100,100,Southeastern,100,111251478.5,102291.4805
50,Southern Park Heights,87.34891217,85.68075117,82.69058296,80.26819923,71.75,55.79710145,67.6731794,71.81628392,76.83284457,78.96253602,Southern Park Heights,90.23746702,27876227.59,24052.22137
51,Southwest Baltimore,84.73214286,79.06336088,88.83541867,87.62183236,89.87341772,75.02972652,90.54224464,88.875,87.54669988,83.30733229,Southwest Baltimore,83.90625,37766068.84,28355.56358
52,The Waverlies,96.60574413,97.42647059,88.48684211,81.56862745,81.61764706,64.22764228,81.02409639,90.34267913,93.93939394,96.67896679,The Waverlies,80.21978022,20383750.54,18733.82688
53,Upton/Druid Heights,73.85714286,77.64227642,76.14571093,77.55102041,79.07303371,73.83040936,69.48356808,77.36916549,75.81818182,76.43564356,Upton/Druid Heights,72.44525547,16976622.34,19389.30782
54,Washington Village/Pigtown,72.08480565,82.74509804,77.03703704,93.8547486,95.96412556,72.60869565,81.81818182,86,90.45643154,77.30769231,Pigtown/Carroll Park,86.15384615,39343262.04,36962.26009
55,Westport/Mount Winans/Lakeland,77.31755424,93.36492891,97.11286089,94.88188976,100,100,100,93.78698225,94.29657795,91.82879377,Westport/Mount Winans/Lakeland,83.14176245,45494092.95,42573.12442
